GeneID	nReads	ftype
ENSMUSG00000003644.18	13	exon
ENSMUSG00000003657.10	6	exon
ENSMUSG00000003660.11	134	exon
ENSMUSG00000003662.11	86	exon
ENSMUSG00000003665.8	11	exon
ENSMUSG00000003680.17	5	exon
ENSMUSG00000003721.15	110	exon
ENSMUSG00000003731.14	103	exon
ENSMUSG00000003746.17	104	exon
ENSMUSG00000003752.10	6	exon
ENSMUSG00000003762.14	12	exon
ENSMUSG00000003778.15	143	exon
ENSMUSG00000003779.17	4	exon
ENSMUSG00000003808.19	20	exon
ENSMUSG00000003809.15	44	exon
ENSMUSG00000003810.15	42	exon
ENSMUSG00000003812.14	3	exon
ENSMUSG00000003813.16	106	exon
ENSMUSG00000003814.9	742	exon
ENSMUSG00000003824.13	8	exon
ENSMUSG00000003847.17	58	exon
ENSMUSG00000003848.15	37	exon
ENSMUSG00000003849.9	18	exon
ENSMUSG00000003863.19	80	exon
ENSMUSG00000003865.17	8	exon
ENSMUSG00000003868.15	39	exon
ENSMUSG00000003872.10	183	exon
ENSMUSG00000003873.12	90	exon
ENSMUSG00000003923.15	65	exon
ENSMUSG00000003929.12	40	exon
ENSMUSG00000003934.6	347	exon
ENSMUSG00000003948.18	381	exon
ENSMUSG00000003949.17	314	exon
ENSMUSG00000003955.9	110	exon
ENSMUSG00000003970.10	770	exon
ENSMUSG00000003974.7	58	exon
ENSMUSG00000003992.16	121	exon
ENSMUSG00000004018.10	6	exon
ENSMUSG00000004031.14	63	exon
ENSMUSG00000004032.11	313	exon
ENSMUSG00000004035.13	19	exon
ENSMUSG00000004040.17	56	exon
ENSMUSG00000004043.15	5	exon
ENSMUSG00000004044.10	22	exon
ENSMUSG00000004054.10	46	exon
ENSMUSG00000004056.17	153	exon
ENSMUSG00000004069.18	79	exon
ENSMUSG00000004070.16	140	exon
ENSMUSG00000004071.14	302	exon
ENSMUSG00000004085.15	5	exon
ENSMUSG00000004096.10	183	exon
ENSMUSG00000004098.8	2	exon
ENSMUSG00000004099.17	42	exon
ENSMUSG00000004100.13	61	exon
ENSMUSG00000004105.9	3	exon
ENSMUSG00000004110.19	473	exon
ENSMUSG00000004113.20	52	exon
ENSMUSG00000004127.13	11	exon
ENSMUSG00000004151.18	138	exon
ENSMUSG00000004187.12	195	exon
ENSMUSG00000004207.16	429	exon
ENSMUSG00000004221.17	41	exon
ENSMUSG00000004233.15	3	exon
ENSMUSG00000004263.16	142	exon
ENSMUSG00000004264.18	141	exon
ENSMUSG00000004266.16	13	exon
ENSMUSG00000004267.17	1260	exon
ENSMUSG00000004268.12	103	exon
ENSMUSG00000004270.14	31	exon
ENSMUSG00000004285.13	264	exon
ENSMUSG00000004317.15	20	exon
ENSMUSG00000004319.16	254	exon
ENSMUSG00000004328.16	1	exon
ENSMUSG00000004341.9	24	exon
ENSMUSG00000004347.18	103	exon
ENSMUSG00000004356.9	14	exon
ENSMUSG00000004360.10	89	exon
ENSMUSG00000004364.15	112	exon
ENSMUSG00000004366.5	159	exon
ENSMUSG00000004371.16	2	exon
ENSMUSG00000004383.19	120	exon
ENSMUSG00000004393.11	25	exon
ENSMUSG00000004394.13	122	exon
ENSMUSG00000004415.16	5	exon
ENSMUSG00000004446.13	1	exon
ENSMUSG00000004451.15	29	exon
ENSMUSG00000004455.17	40	exon
ENSMUSG00000004460.18	87	exon
ENSMUSG00000004462.8	16	exon
ENSMUSG00000004473.11	4	exon
ENSMUSG00000004500.10	13	exon
ENSMUSG00000004508.7	19	exon
ENSMUSG00000004530.13	82	exon
ENSMUSG00000004535.13	218	exon
ENSMUSG00000004558.16	1121	exon
ENSMUSG00000004561.15	39	exon
ENSMUSG00000004562.17	22	exon
ENSMUSG00000004565.16	28	exon
ENSMUSG00000004567.17	39	exon
ENSMUSG00000004568.14	47	exon
ENSMUSG00000004591.17	37	exon
ENSMUSG00000004609.12	11	exon
ENSMUSG00000004610.5	168	exon
ENSMUSG00000004626.15	60	exon
ENSMUSG00000004631.16	82	exon
ENSMUSG00000004633.18	60	exon
ENSMUSG00000004637.16	22	exon
ENSMUSG00000004642.14	2	exon
ENSMUSG00000004654.7	1	exon
ENSMUSG00000004661.16	36	exon
ENSMUSG00000004665.11	6	exon
ENSMUSG00000004667.19	102	exon
ENSMUSG00000004677.19	29	exon
ENSMUSG00000004698.12	15	exon
ENSMUSG00000004707.15	1	exon
ENSMUSG00000004730.16	4	exon
ENSMUSG00000004748.6	35	exon
ENSMUSG00000004768.15	60	exon
ENSMUSG00000004771.13	146	exon
ENSMUSG00000004788.12	30	exon
ENSMUSG00000004789.11	168	exon
ENSMUSG00000004791.8	3	exon
ENSMUSG00000004798.15	93	exon
ENSMUSG00000004815.13	27	exon
ENSMUSG00000004837.3	7	exon
ENSMUSG00000004843.8	86	exon
ENSMUSG00000004846.11	26	exon
ENSMUSG00000004849.15	809	exon
ENSMUSG00000004865.17	127	exon
ENSMUSG00000004880.12	18	exon
ENSMUSG00000004885.6	3	exon
ENSMUSG00000004891.17	6	exon
ENSMUSG00000004892.14	309	exon
ENSMUSG00000004894.11	39	exon
ENSMUSG00000004895.10	48	exon
ENSMUSG00000004896.17	55	exon
ENSMUSG00000004897.18	338	exon
ENSMUSG00000004902.8	8	exon
ENSMUSG00000004929.13	55	exon
ENSMUSG00000004931.12	21	exon
ENSMUSG00000004933.18	287	exon
ENSMUSG00000004934.15	89	exon
ENSMUSG00000004936.9	312	exon
ENSMUSG00000004937.7	129	exon
ENSMUSG00000004945.16	145	exon
ENSMUSG00000004947.16	23	exon
ENSMUSG00000004948.13	1	exon
ENSMUSG00000004951.11	8	exon
ENSMUSG00000004952.14	1	exon
ENSMUSG00000004961.8	253	exon
ENSMUSG00000004980.17	1053	exon
ENSMUSG00000004994.13	18	exon
ENSMUSG00000004996.10	1	exon
ENSMUSG00000005034.16	498	exon
ENSMUSG00000005043.14	13	exon
ENSMUSG00000005045.17	161	exon
ENSMUSG00000005054.8	69	exon
ENSMUSG00000005057.14	4	exon
ENSMUSG00000005069.13	120	exon
ENSMUSG00000005078.17	134	exon
ENSMUSG00000005087.18	8	exon
ENSMUSG00000005089.16	3183	exon
ENSMUSG00000005102.14	15	exon
ENSMUSG00000005103.13	100	exon
ENSMUSG00000005124.11	2	exon
ENSMUSG00000005125.14	289	exon
ENSMUSG00000005131.5	3	exon
ENSMUSG00000005142.11	71	exon
ENSMUSG00000005148.9	138	exon
ENSMUSG00000005150.17	38	exon
ENSMUSG00000005161.16	354	exon
ENSMUSG00000005198.16	40	exon
ENSMUSG00000005204.13	88	exon
ENSMUSG00000005225.16	9	exon
ENSMUSG00000005237.15	5	exon
ENSMUSG00000005262.14	83	exon
ENSMUSG00000005267.14	22	exon
ENSMUSG00000005268.21	8	exon
ENSMUSG00000005299.7	126	exon
ENSMUSG00000005312.16	288	exon
ENSMUSG00000005338.15	377	exon
ENSMUSG00000005354.17	161	exon
ENSMUSG00000005357.10	3	exon
ENSMUSG00000005360.15	784	exon
ENSMUSG00000005362.15	30	exon
ENSMUSG00000005370.5	26	exon
ENSMUSG00000005371.16	137	exon
ENSMUSG00000005373.14	5	exon
ENSMUSG00000005374.14	17	exon
ENSMUSG00000005378.18	35	exon
ENSMUSG00000005397.9	6	exon
ENSMUSG00000005410.7	6	exon
ENSMUSG00000005413.9	1	exon
ENSMUSG00000005417.18	575	exon
ENSMUSG00000005442.14	256	exon
ENSMUSG00000005447.13	12	exon
ENSMUSG00000005469.11	178	exon
ENSMUSG00000005470.9	3	exon
ENSMUSG00000005481.19	15	exon
ENSMUSG00000005483.11	75	exon
ENSMUSG00000005501.15	23	exon
ENSMUSG00000005505.13	36	exon
ENSMUSG00000005506.17	692	exon
ENSMUSG00000005510.10	82	exon
ENSMUSG00000005514.15	146	exon
ENSMUSG00000005533.11	156	exon
ENSMUSG00000005534.11	68	exon
ENSMUSG00000005547.15	9	exon
ENSMUSG00000005566.15	124	exon
ENSMUSG00000005575.17	213	exon
ENSMUSG00000005580.12	118	exon
ENSMUSG00000005583.17	302	exon
ENSMUSG00000005609.17	77	exon
ENSMUSG00000005610.18	310	exon
ENSMUSG00000005611.16	1	exon
ENSMUSG00000005615.16	35	exon
ENSMUSG00000005621.12	17	exon
ENSMUSG00000005625.16	218	exon
ENSMUSG00000005656.10	34	exon
ENSMUSG00000005667.9	4	exon
ENSMUSG00000005672.13	35	exon
ENSMUSG00000005674.10	192	exon
ENSMUSG00000005677.15	4	exon
ENSMUSG00000005681.13	2	exon
ENSMUSG00000005682.10	29	exon
ENSMUSG00000005683.9	202	exon
ENSMUSG00000005686.18	18	exon
ENSMUSG00000005687.15	148	exon
ENSMUSG00000005698.16	112	exon
ENSMUSG00000005699.17	65	exon
ENSMUSG00000005716.17	28	exon
ENSMUSG00000005718.9	16	exon
ENSMUSG00000005732.15	169	exon
